City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
461,Soyo,AO,-6.1349,12.3689,74.35,86,100,5.97,overcast clouds
462,Hualmay,PE,-11.0964,-77.6139,61.63,86,17,8.84,few clouds
463,Taupo,NZ,-38.6833,176.0833,45.72,81,99,4.29,overcast clouds
464,Urdoma,RU,61.7533,48.5442,34.27,86,65,0.65,broken clouds
465,Dalby,AU,-27.1833,151.2667,68.99,53,88,3.0,light rain
466,Bella Vista,US,36.4295,-94.2316,72.09,71,1,3.0,clear sky
467,Sibolga,ID,1.7427,98.7792,86.29,63,97,4.7,overcast clouds
468,Capitao Poco,BR,-1.7464,-47.0594,71.46,96,1,4.27,clear sky
469,Ucluelet,CA,48.9329,-125.5528,54.09,92,100,7.25,overcast clouds
470,Senneterre,CA,48.3835,-77.2328,43.02,87,100,5.35,light rain
471,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.34,89,100,14.81,overcast clouds
472,Cape Canaveral,US,28.4058,-80.6048,79.07,72,1,0.0,clear sky
473,Praya,CV,14.9215,-23.5087,77.54,78,0,6.91,clear sky
474,Urengoy,RU,65.9667,78.3667,36.9,63,53,4.92,broken clouds
475,Ituango,CO,7.1712,-75.764,62.38,98,96,1.1,overcast clouds
476,Springdale,US,36.1867,-94.1288,71.29,71,1,3.44,clear sky
477,High Prairie,CA,55.4334,-116.4858,47.03,89,83,5.75,broken clouds
478,Hearst,CA,49.6835,-83.6665,43.72,83,100,4.68,overcast clouds
479,Itacoatiara,BR,-3.1431,-58.4442,72.91,97,77,1.59,broken clouds
480,Falmouth,GB,50.1544,-5.0711,55.78,83,100,16.13,overcast clouds
481,Puerto Madryn,AR,-42.7692,-65.0385,53.74,36,11,11.99,few clouds
482,Belaya Gora,RU,68.5333,146.4167,29.64,60,97,16.78,overcast clouds
483,Winthrop,US,42.3751,-70.9828,69.85,73,99,4.0,overcast clouds
484,Berlevag,NO,70.8578,29.0864,57.2,78,97,16.33,overcast clouds
485,Nabire,ID,-3.3667,135.4833,86.85,63,46,6.02,scattered clouds
486,Vao,NC,-22.6667,167.4833,68.22,68,25,11.99,scattered clouds
487,Chiredzi,ZW,-21.05,31.6667,67.66,63,32,4.0,scattered clouds
488,Miguel Hidalgo,MX,19.4225,-99.2028,61.59,77,100,3.0,overcast clouds
489,Saint-Pierre,RE,-21.3393,55.4781,73.08,61,0,5.75,clear sky
490,Chauk,MM,20.8833,94.8167,83.61,72,100,6.44,overcast clouds
491,Sungaipenuh,ID,-2.0833,101.3833,79.18,65,56,1.92,broken clouds
492,Zanjan,IR,36.6736,48.4787,61.47,41,0,7.38,clear sky
493,Hornepayne,CA,49.2138,-84.7705,41.7,82,82,6.08,broken clouds
494,Abhaynagar,BD,23.0129,89.4049,79.86,88,100,9.93,overcast clouds
495,Freeport,US,40.6576,-73.5832,71.96,69,1,10.0,clear sky
496,Andilamena,MG,-17.0167,48.5833,60.51,91,100,7.14,light rain
497,Tilichiki,RU,60.4667,166.1,42.51,58,100,8.75,overcast clouds
498,Sorong,ID,-0.8833,131.25,82.44,79,100,5.77,overcast clouds
499,Celestun,MX,20.8667,-90.4,80.83,78,39,14.14,scattered clouds
500,Vestmannaeyjar,IS,63.4427,-20.2734,36.73,75,41,20.4,scattered clouds
501,Murom,RU,55.5656,42.0417,37.74,93,89,10.0,overcast clouds
502,Lewistown,US,40.5992,-77.5714,69.08,92,1,0.0,clear sky
503,Santiago Del Estero,AR,-27.7951,-64.2615,77.52,35,24,13.29,few clouds
504,Quelimane,MZ,-17.8786,36.8883,73.18,82,70,6.93,broken clouds
505,Souillac,MU,-20.5167,57.5167,74.35,75,66,14.85,light rain
506,Ichinohe,JP,40.2069,141.3017,73.69,49,94,3.96,overcast clouds
507,Antofagasta,CL,-23.65,-70.4,58.28,79,16,1.19,few clouds
508,Miri,MY,4.4148,114.0089,84.0,74,28,6.26,scattered clouds
509,Zaraza,VE,9.3503,-65.3245,75.06,83,38,3.56,scattered clouds
510,Hachinohe,JP,40.5,141.5,76.82,62,99,15.5,overcast clouds
511,Cairo,EG,30.0626,31.2497,71.42,44,0,5.68,clear sky
512,Arroio Grande,BR,-32.2375,-53.0869,59.34,98,97,4.09,overcast clouds
513,Hurghada,EG,27.2574,33.8129,75.34,57,0,22.91,clear sky
514,Nishihara,JP,26.1842,127.7558,87.46,74,20,20.71,few clouds
515,Tazmalt,DZ,36.3868,4.3989,67.75,88,85,2.28,overcast clouds
516,Camargo,MX,27.6667,-105.1667,76.01,35,25,4.59,scattered clouds
517,Santa Rosa,PH,14.3122,121.1114,90.1,64,34,3.15,scattered clouds
518,Anadyr,RU,64.75,177.4833,32.5,100,90,4.0,heavy shower snow
519,Kiama,AU,-34.6833,150.8667,70.45,66,44,10.0,scattered clouds
520,Pangoa,PE,-12.1167,-73.0,70.34,84,72,3.6,broken clouds
521,Kutum,SD,14.2,24.6667,74.95,55,52,2.91,broken clouds
522,Saint-Augustin,CA,51.226,-58.6502,50.02,87,46,12.64,scattered clouds
523,Mumford,GH,5.2618,-0.759,76.39,87,100,7.16,overcast clouds
524,Barcelos,PT,41.5388,-8.6151,63.28,88,100,5.14,overcast clouds
525,Altay,CN,47.8667,88.1167,46.26,66,100,2.24,overcast clouds
526,Istiaia,GR,38.9558,23.1528,69.51,84,57,5.64,broken clouds
527,Oume,JP,35.7839,139.2431,80.24,57,90,4.61,overcast clouds
528,Margate,GB,51.3813,1.3862,55.11,84,5,13.82,clear sky
529,Arlit,NE,18.7369,7.3853,81.95,15,0,7.23,clear sky
530,Luanda,AO,-8.8368,13.2343,72.64,85,97,5.37,overcast clouds
531,Brae,GB,60.3964,-1.353,51.71,80,3,18.84,clear sky
532,Vostok,RU,46.4856,135.8833,60.08,85,95,1.3,overcast clouds
533,Jinchang,CN,38.4953,102.1739,72.57,14,0,2.46,clear sky
534,Las Vegas,US,36.175,-115.1372,86.61,32,1,4.61,smoke
535,Filingue,NE,14.3521,3.3168,84.4,46,6,11.01,clear sky
536,Sazonovo,RU,59.0919,35.2268,44.08,92,85,4.68,overcast clouds
537,Viedma,AR,-40.8135,-62.9967,49.33,34,9,11.65,clear sky
538,San Ramon,US,37.7799,-121.978,67.08,88,90,3.0,overcast clouds
539,Aksarka,RU,66.5606,67.7975,34.56,75,100,11.1,overcast clouds
540,Faanui,PF,-16.4833,-151.75,79.03,77,43,17.98,light rain
541,Mont-Dore,NC,-22.2833,166.5833,75.18,71,69,12.15,broken clouds
542,Bengkulu,ID,-3.8004,102.2655,84.15,72,35,6.22,scattered clouds
543,Xinqing,CN,48.2333,129.5,68.95,43,8,9.98,clear sky
544,Gouyave,GD,12.1646,-61.7296,79.57,89,20,2.3,few clouds
545,Hokitika,NZ,-42.7167,170.9667,52.79,61,4,11.68,clear sky
546,Sulangan,PH,11.1373,123.7228,84.24,71,67,8.59,broken clouds
547,Guangyuan,CN,32.442,105.823,78.19,63,50,4.27,scattered clouds
548,Kambove,CD,-10.8764,26.5969,66.63,70,90,2.21,overcast clouds
549,Taseyevo,RU,57.2169,94.8978,37.51,83,100,3.83,overcast clouds
550,Sakhipur,BD,24.3,90.1833,82.27,71,100,7.38,heavy intensity rain
551,Nouadhibou,MR,20.931,-17.0347,74.97,74,1,5.12,clear sky
552,Laguna,US,38.421,-121.4238,71.46,79,90,7.0,overcast clouds
553,Yar-Sale,RU,66.8333,70.8333,36.72,71,48,13.13,scattered clouds
554,Okakarara,NA,-20.5833,17.4333,60.76,36,47,6.91,scattered clouds
555,Qaqortoq,GL,60.7167,-46.0333,27.1,50,0,3.78,clear sky
556,Sechura,PE,-5.5569,-80.8222,64.36,82,13,10.04,few clouds
557,Batemans Bay,AU,-35.7167,150.1833,74.98,42,47,12.77,scattered clouds
558,Kangaatsiaq,GL,68.3065,-53.4641,24.31,60,4,13.04,clear sky
559,Tsarychanka,UA,48.937,34.4786,43.43,92,9,7.05,clear sky
560,Saint-Ambroise,CA,48.5501,-71.3324,47.57,89,88,6.26,overcast clouds
561,Shimoda,JP,34.6667,138.95,74.1,66,35,14.2,scattered clouds
562,Bay City,US,43.5945,-83.8889,63.09,87,20,5.75,few clouds
563,Uyuni,BO,-20.4597,-66.825,47.89,16,3,5.39,clear sky
564,Aquiraz,BR,-3.9014,-38.3911,83.21,71,15,14.29,few clouds
565,Mujiayingzi,CN,42.1167,118.7833,72.54,42,91,13.04,overcast clouds
566,Chimbote,PE,-9.0853,-78.5783,62.71,85,58,5.86,broken clouds
567,Oussouye,SN,12.485,-16.5469,73.08,89,87,6.49,light rain
568,Juigalpa,NI,12.1063,-85.3645,73.81,91,100,5.1,overcast clouds
569,Taltal,CL,-25.4,-70.4833,60.93,68,14,2.57,few clouds
570,Anloga,GH,5.7947,0.8973,78.62,83,100,8.43,light rain
571,Mount Isa,AU,-20.7333,139.5,98.37,10,61,12.66,broken clouds
572,Bulnes,CL,-36.7423,-72.2985,50.88,64,76,6.15,broken clouds
573,Kysyl-Syr,RU,63.8986,122.7617,43.25,58,24,11.68,few clouds
574,Canaries,ES,28.0,-15.5,66.76,81,20,5.01,few clouds
575,Zvishavane,ZW,-20.3267,30.0665,65.37,47,0,4.14,clear sky
576,Sorland,NO,67.667,12.6934,60.87,81,18,21.27,few clouds
577,Beruwala,LK,6.4788,79.9828,80.33,82,98,12.15,overcast clouds
578,Big Spring,US,32.2504,-101.4787,78.28,57,1,1.99,clear sky
579,Petrovsk,RU,52.3064,45.3917,45.52,81,100,12.8,overcast clouds
580,Guerrero Negro,MX,27.9769,-114.0611,69.06,73,2,13.4,clear sky
581,Lufkin,US,31.3382,-94.7291,78.71,73,75,4.61,broken clouds
582,Buchanan,LR,5.8808,-10.0467,75.16,86,100,1.66,overcast clouds
583,Khoy,IR,38.5504,44.9535,57.69,40,0,2.15,clear sky
584,Pouebo,NC,-20.4,164.5667,73.89,67,61,8.55,broken clouds
585,Panzhihua,CN,26.5851,101.7128,81.95,56,10,0.65,clear sky
586,Awjilah,LY,29.1081,21.2869,68.86,63,0,7.9,clear sky
587,Malakal,SS,9.5334,31.6605,72.03,88,78,1.57,broken clouds
588,Pawa,PH,13.1747,123.7328,86.88,69,97,0.58,overcast clouds
589,Portland,US,45.5234,-122.6762,56.1,93,20,1.01,few clouds
590,Bangassou,CF,4.7413,22.8184,68.47,99,100,0.63,light rain
591,Acapulco,MX,16.8634,-99.8901,79.18,85,87,7.29,overcast clouds
592,Carutapera,BR,-1.195,-46.02,78.48,83,6,7.78,clear sky
593,Luoyang,CN,34.6836,112.4536,63.93,96,100,5.93,moderate rain
594,Matadi,CD,-5.8167,13.45,74.21,84,99,2.42,overcast clouds
595,Sembe,CG,1.6481,14.5806,67.69,100,56,1.95,broken clouds
596,Dawlatabad,AF,36.4141,64.9053,66.76,38,0,4.94,clear sky
597,North Bend,US,43.4065,-124.2243,55.31,94,20,12.66,few clouds
598,Leh,IN,34.1667,77.5833,58.98,43,17,5.5,few clouds
599,Abu Samrah,SY,35.3029,37.1841,65.53,73,0,8.5,clear sky
600,Adolfo Ruiz Cortines,MX,25.75,-108.75,83.03,68,0,3.69,clear sky
601,Gat,IL,31.61,34.7642,72.39,100,2,3.8,clear sky
602,Almonte,ES,37.2647,-6.5167,67.28,59,47,3.22,scattered clouds
603,Zhezkazgan,KZ,47.8043,67.7144,54.37,73,100,10.58,overcast clouds
604,Natitingou,BJ,10.3042,1.3796,69.8,91,98,3.65,overcast clouds
605,Chumikan,RU,54.7183,135.315,59.54,53,23,17.05,few clouds
606,Amapa,BR,1.0,-52.0,68.79,91,3,1.72,clear sky
607,Kasongo,CD,-4.45,26.6667,66.61,85,96,1.25,overcast clouds
608,Garden City,US,42.3256,-83.331,66.31,81,40,4.0,scattered clouds
609,Port Lincoln,AU,-34.7333,135.8667,67.66,52,59,4.12,broken clouds
610,Mozarlandia,BR,-14.7447,-50.5706,82.8,44,65,1.5,broken clouds
611,Ust-Tsilma,RU,65.441,52.1498,42.69,90,100,4.92,overcast clouds
612,Koumac,NC,-20.5667,164.2833,73.33,66,94,11.95,overcast clouds
613,Koboko,UG,3.4136,30.9599,61.59,91,92,1.83,light rain
614,Kupang,ID,-10.1667,123.5833,91.98,49,40,6.91,scattered clouds
615,Narasannapeta,IN,18.4167,84.05,83.39,78,86,4.18,overcast clouds
616,Tuy Hoa,VN,13.0833,109.3,85.84,68,79,8.66,broken clouds
617,Fukue,JP,32.6881,128.8419,78.24,74,76,6.64,broken clouds
618,Ilave,PE,-16.0833,-69.6667,46.0,81,1,3.49,clear sky
619,Ballina,AU,-28.8667,153.5667,71.78,49,57,11.23,broken clouds
620,Pochutla,MX,15.7432,-96.4661,77.83,87,99,3.13,overcast clouds
621,La Ronge,CA,55.1001,-105.2842,53.38,77,3,8.28,clear sky
622,Saint George,US,37.1041,-113.5841,78.26,38,1,1.01,clear sky
623,Paris,FR,48.8534,2.3488,53.11,95,0,2.3,clear sky
624,Moerai,PF,-22.4333,-151.3333,74.59,81,69,5.48,light rain
625,Dunedin,NZ,-45.8742,170.5036,53.73,53,68,7.34,broken clouds
626,Veinticinco De Mayo,AR,-35.4323,-60.1727,50.05,94,74,8.01,broken clouds
627,Quatre Cocos,MU,-20.2078,57.7625,74.08,75,94,16.15,light rain
628,Akyab,MM,20.15,92.9,79.16,87,100,6.17,overcast clouds
629,Teguise,ES,29.0605,-13.564,68.22,78,0,20.71,clear sky
630,Encs,HU,48.3333,21.1333,58.3,80,96,3.65,overcast clouds
631,Half Moon Bay,US,37.4636,-122.4286,68.02,89,90,1.01,overcast clouds
632,Paraopeba,BR,-19.2757,-44.4033,67.35,68,49,6.08,scattered clouds
633,George Town,MY,5.4112,100.3354,87.73,70,40,11.5,scattered clouds
634,Kytmanovo,RU,53.4593,85.4479,39.02,76,91,5.7,overcast clouds
635,Masumbwe,TZ,-3.6333,32.1833,69.75,67,97,3.31,light rain
636,Tonota,BW,-21.4833,27.4833,64.51,39,0,4.36,clear sky
637,Houma,US,29.5958,-90.7195,78.98,95,99,5.61,overcast clouds
638,Rio Grande,BR,-32.035,-52.0986,62.94,95,60,6.49,broken clouds
639,Ilhabela,BR,-23.7781,-45.3581,67.01,89,2,5.12,clear sky
640,Santa Marta,CO,11.2408,-74.199,83.98,77,49,4.0,scattered clouds
641,Glendive,US,47.1053,-104.7125,70.18,34,1,6.91,clear sky
642,Augusto Correa,BR,-1.0217,-46.635,77.25,84,26,4.92,scattered clouds
643,Arbazh,RU,57.6804,48.3065,33.06,87,46,6.22,scattered clouds
644,Kenai,US,60.5544,-151.2583,39.25,65,1,5.75,clear sky
645,Kalakamati,BW,-20.5929,27.3121,63.23,39,0,9.26,clear sky
646,Mananjary,MG,-21.2167,48.3333,69.44,78,29,3.18,scattered clouds
647,Sri Aman,MY,1.2376,111.4621,91.13,57,65,0.49,broken clouds
648,Kabanjahe,ID,3.1001,98.4908,68.76,79,100,3.44,moderate rain
649,Pringsewu,ID,-5.3582,104.9744,88.45,57,88,3.96,overcast clouds
650,Orotukan,RU,62.2667,151.7,27.54,85,100,6.15,light snow
651,Lundazi,ZM,-12.2929,33.1782,69.04,48,48,8.03,scattered clouds
652,Dobra,RO,44.7833,25.7167,60.76,80,98,9.75,overcast clouds
653,De-Kastri,RU,51.4667,140.7833,66.87,63,68,3.58,broken clouds
654,Kosa,RU,59.9445,54.9977,34.14,79,61,3.58,broken clouds
655,Le Vauclin,MQ,14.5452,-60.8388,77.05,94,75,6.91,broken clouds
656,Khani,GE,41.9563,42.9566,45.97,87,22,3.13,few clouds
657,Kattivakkam,IN,13.2167,80.3167,89.69,59,100,14.0,overcast clouds
658,San Jeronimo,PE,-11.9472,-75.2829,53.55,66,80,1.5,broken clouds
659,Kasamwa,TZ,-2.85,32.4333,68.4,77,94,0.89,overcast clouds
660,Djambala,CG,-2.5447,14.7533,68.81,90,100,3.47,overcast clouds
661,Asau,RO,46.4333,26.4,54.75,80,77,1.57,light rain
662,Monrovia,LR,6.3005,-10.7969,74.97,83,100,1.05,overcast clouds
663,Nara,JP,34.6851,135.8049,76.28,64,87,3.83,overcast clouds
664,Nome,US,64.5011,-165.4064,35.67,65,1,4.61,clear sky
665,Chardara,KZ,41.2547,67.9692,66.34,39,0,2.55,clear sky
666,Turbat,PK,26.0023,63.044,94.64,18,27,8.93,scattered clouds
667,Acajutla,SV,13.5928,-89.8275,79.02,84,97,6.13,light rain
668,Pinawa,CA,50.1489,-95.8811,58.17,53,30,8.52,scattered clouds
669,Shaunavon,CA,49.6501,-108.4181,64.71,34,5,2.42,clear sky
670,Porto Novo,BJ,6.4965,2.6036,75.38,91,70,3.83,broken clouds
671,Pizhma,RU,57.8642,47.1171,32.74,91,42,5.28,scattered clouds
672,Atasu,KZ,48.6814,71.6433,54.82,45,95,16.22,overcast clouds
673,Boda,CF,4.3189,17.4695,67.89,98,100,0.87,light rain
674,Omsukchan,RU,62.5333,155.8,27.25,72,100,5.14,overcast clouds
675,Am Timan,TD,11.0297,20.2827,71.91,91,87,3.18,light rain
676,Birao,CF,10.2849,22.7882,70.32,89,93,2.73,overcast clouds
677,Kulhudhuffushi,MV,6.6221,73.07,80.73,76,100,17.6,overcast clouds
678,Williston,US,48.147,-103.618,61.21,21,6,2.55,clear sky
679,Panguna,PG,-6.3164,155.4848,75.87,85,53,1.41,moderate rain
680,Cayenne,GF,4.9333,-52.3333,81.09,74,31,8.99,scattered clouds
681,Grand Island,US,40.925,-98.342,74.01,54,1,1.99,clear sky
682,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,34,20,6.71,few clouds
683,Belmonte,BR,-15.8631,-38.8828,75.7,86,27,6.96,scattered clouds
684,Port-De-Bouc,FR,43.4,4.9833,65.95,72,0,11.5,clear sky
685,Limbang,MY,4.75,115.0,87.91,59,24,2.06,few clouds
686,Dalvik,IS,65.9702,-18.5286,37.94,98,100,6.93,overcast clouds
687,Nakambala,ZM,-15.8324,27.7799,68.76,43,2,5.53,clear sky
688,Beidao,CN,34.5686,105.8933,70.95,65,10,1.54,clear sky
689,Santa Flavia,IT,38.085,13.5351,76.73,72,85,5.01,overcast clouds
690,Marivan,IR,35.5219,46.176,66.56,21,0,1.32,clear sky
691,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,94,96,12.3,overcast clouds
